Name,Country,District ,Distance From Tel-Aviv km,Area km2,Population Density Per km2,Total Population,Jews Rate,Arabs Rate,Druzes Rate,Age 0-4,Age 65+,Population Growth Per 1000 Population,Death Rate Per 1000 Population,Life Expectancy,Life Expectancy Per 1000 Population,Diabetes Per Year,"Male Cancer Rate Per 100,000 Population","Female Cancer Rate Per 100,000 Population",Average Salary,Male Average Salary,Female Average Salary,Minimum Wage Workers,Self-Employment Average Wage,Gini Ratio For Workers (0 full equality),Childrens In Kindergartens,School Students,Average School Class Size,Eligible to Receive a Bagrut Among 12th Grage Rate,College Graduation Rate Among 35-55 Rate,Students Rate,Average Waste Per Person kg,Waste Recycling Rate,Vehicles,Average Vehicle Age,"Traffic Collisions With Injuries Per 1,000","Criminals Per 1,000",Percent Of Sex Crimes,Socioeconomic Cluster,Socioeconomic Value,Periphery Cluster,Periphery Value,Height Average m,Population Ages 15+,Didn't Finish School Rate, Labor Force Participation Rate,Employment Rate,Unemployment Rate,Work Outside Their City Rate,Average People Per HouseHold,Home Ownership Rate,Home Rental Rate
אבו גוש,Israel,Jerusalem,41.00,1.89,3872.40,7300.00,,,,9.97,5.47,17.97,,,,,,,6591.09,7430.65,5333.18,41.50,7731.45,0.34,384.00,1235.00,18.00,45.50,10.00,3.70,1.70,24.40,1880.00,9.00,0.80,,,3.00,-0.76,6.00,0.74,684.00,,,,,,,,,
אבו סנאן,Israel,Northern,106.50,6.70,2045.30,13700.00,,,30.30,8.68,6.21,14.63,5.03,,2.19,769.70,,,6226.12,7489.55,4532.43,50.80,7941.96,0.38,637.00,2605.00,23.00,67.60,11.00,2.20,1.30,7.80,4137.00,9.30,0.80,,,3.00,-0.75,4.00,-0.27,73.00,,,,,,,,,
אבן יהודה,Israel,Central,14.40,8.27,1658.00,13700.00,98.30,,,7.67,12.92,7.93,4.41,,2.07,686.00,,,13553.54,16880.01,10263.16,29.40,13119.36,0.50,763.00,4160.00,27.00,83.60,53.80,3.20,1.90,12.00,5714.00,6.50,0.60,,,8.00,1.54,7.00,1.20,41.00,,,,,,,,,
אום אל-פחם,Israel,Haifa,57.80,26.03,2089.70,54200.00,,,,10.10,4.05,19.38,6.09,79.00,2.94,3386.30,326.98,206.61,5361.00,6250.00,3821.00,59.40,8354.00,0.38,3440.00,14554.00,25.00,60.00,7.30,1.80,1.40,6.70,14911.00,9.40,0.60,4.90,,2.00,-1.33,5.00,0.21,351.00,40900.00,43.86,43.74,41.52,5.09,39.05,4.34,92.97,3.12
אופקים,Israel,Southern,86.80,10.38,2675.80,27800.00,93.00,,,12.80,9.14,24.45,6.49,,4.13,1675.00,357.47,380.74,6462.00,8057.00,5018.00,47.40,8628.00,0.38,1923.00,5610.00,20.00,46.20,9.60,1.90,1.60,14.20,6108.00,7.60,0.50,,,3.00,-0.70,3.00,-0.49,137.00,,,,,,,,,
אור יהודה,Israel,Tel Aviv,0.00,6.67,5506.90,36700.00,97.90,,,9.10,12.15,14.04,5.13,,2.66,2683.70,342.86,277.53,7859.00,9269.00,6525.00,38.30,9921.00,0.39,1833.00,5331.00,23.00,64.70,12.00,2.10,2.30,24.70,11262.00,7.10,1.40,,,6.00,0.17,8.00,2.48,32.00,,,,,,,,,
אור עקיבא,Israel,Haifa,39.50,5.55,3202.20,17800.00,92.20,,,9.50,13.45,12.46,6.03,,2.93,1438.70,,,7343.00,8788.00,5990.00,38.60,8549.00,0.36,997.00,3065.00,21.00,74.90,11.60,1.90,2.40,26.60,5712.00,7.60,1.50,,,5.00,-0.02,5.00,0.40,15.00,,,,,,,,,
אורנית,Palestinian Territories,Judea and Samaria,15.30,,,8700.00,98.60,,,8.79,7.59,12.36,,,,,,,12728.87,15595.57,9947.35,28.50,12128.11,0.43,530.00,1766.00,30.00,87.40,45.80,3.80,1.60,22.40,3565.00,6.70,0.50,,,8.00,1.29,6.00,0.98,124.00,,,,,,,,,
אזור,Israel,Tel Aviv,0.00,2.22,5732.50,12700.00,94.20,,,9.61,13.97,16.07,4.72,,2.92,855.70,,,9128.50,10706.35,7623.92,33.40,10941.61,0.39,647.00,1131.00,27.00,69.40,19.90,2.70,2.10,37.00,4849.00,7.00,1.80,,,7.00,0.66,9.00,2.90,24.00,,,,,,,,,
אילת,Israel,Southern,321.40,100.67,514.40,50700.00,81.60,4.30,0.50,7.90,9.64,13.31,5.57,80.00,2.38,2798.70,401.20,339.13,7706.00,8803.00,6516.00,37.10,11035.00,0.37,2635.00,8231.00,23.00,67.70,10.20,2.20,3.50,7.50,15988.00,7.40,1.30,9.70,,6.00,0.28,1.00,-2.48,48.00,31600.00,15.51,78.48,75.16,4.23,9.26,2.59,56.06,42.23
