test_name,sector,district,age,low_val_pct,normal_pct,high_val_pct
trig,arab,Jerusalem,80+,0.0,0.726,0.27399999999999997
hdl,haredi,North,09-13,0.195,0.805,0.0
albumin,arab,North,19-21,0.016,0.983,0.001
hba1c,arab,Haifa,22-30,0.001,0.858,0.14
vitaminD,general,Sharon - Shomron,80+,0.6579999999999999,0.311,0.032
hb,arab,Dan - Petach Tikva,01-03,0.214,0.785,0.001
trig,haredi,Dan - Petach Tikva,01-03,0.0,0.96,0.04
hb,general,Sharon - Shomron,14-18,0.29100000000000004,0.679,0.03
albumin,general,Central,19-21,0.026000000000000002,0.9690000000000001,0.005
b12,haredi,Jerusalem,09-13,0.04,0.9520000000000001,0.008
nonhdl,general,Haifa,22-30,0.0,0.862,0.138
vitaminD,arab,Sharon - Shomron,19-21,0.976,0.022000000000000002,0.003
hba1c,arab,Jerusalem,09-13,0.0,0.929,0.07
transf,haredi,Central,66-79,0.19,0.872,0.018000000000000002
folacid,arab,Jerusalem,31-50,0.265,0.735,0.0
nonhdl,general,Jerusalem,19-21,0.0,0.9309999999999999,0.069
chol,general,Eilat,51-65,0.0,0.52,0.48
hdl,arab,Jerusalem,14-18,0.29100000000000004,0.7090000000000001,0.0
albumin,haredi,North,22-30,0.07400000000000001,0.9229999999999999,0.003
ferritin,haredi,Central,01-03,0.298,0.7020000000000001,0.0
nonhdl,haredi,South,09-13,0.0,0.96,0.04
albumin,haredi,Dan - Petach Tikva,80+,0.14,0.86,0.0
nonhdl,arab,South,31-50,0.0,0.679,0.321
folacid,general,Tel Aviv,80+,0.265,0.735,0.0
trig,haredi,Jerusalem,19-21,0.0,0.912,0.08800000000000001
chol,general,Sharon - Shomron,14-18,0.0,0.941,0.059000000000000004
ldl,arab,Jerusalem,31-50,0.0,0.33799999999999997,0.662
trig,arab,South,22-30,0.0,0.818,0.182
nonhdl,arab,South,66-79,0.0,0.772,0.228
albumin,arab,South,66-79,0.13699999999999998,0.863,0.0
trig,general,Central,09-13,0.0,0.927,0.073
hba1c,arab,North,66-79,0.0,0.24,0.76
albumin,general,Jerusalem,66-79,0.028999999999999998,0.971,0.0
folacid,general,Tel Aviv,66-79,0.221,0.779,0.0
trig,general,Eilat,80+,0.0,0.763,0.237
albumin,haredi,Haifa,51-65,0.018000000000000002,0.981,0.001
hdl,arab,Sharon - Shomron,31-50,0.335,0.665,0.0
hdl,general,Dan - Petach Tikva,31-50,0.221,0.779,0.0
albumin,general,Central,01-03,0.038,0.9620000000000001,0.0
hdl,haredi,Dan - Petach Tikva,66-79,0.205,0.795,0.0
mgb,arab,South,31-50,0.027999999999999997,0.9670000000000001,0.005
transf,general,South,19-21,0.012,0.87,0.11699999999999999
hdl,haredi,Jerusalem,04-08,0.158,0.8420000000000001,0.0
mgb,arab,Haifa,66-79,0.066,0.9009999999999999,0.033
chol,general,Tel Aviv,01-03,0.0,0.965,0.035
hba1c,general,Central,09-13,0.0,0.863,0.13699999999999998
trig,arab,North,80+,0.0,0.731,0.26899999999999996
mgb,haredi,Dan - Petach Tikva,80+,0.077,0.899,0.024
b12,haredi,North,09-13,0.015,0.7659999999999999,0.21899999999999997
folacid,arab,Haifa,14-18,0.444,0.556,0.0
albumin,arab,North,01-03,0.057999999999999996,0.9420000000000001,0.0
b12,general,Dan - Petach Tikva,19-21,0.07,0.909,0.021
b12,arab,Jerusalem,51-65,0.133,0.851,0.016
folacid,haredi,South,09-13,0.321,0.679,0.0
vitaminD,general,Tel Aviv,31-50,0.804,0.18899999999999997,0.006999999999999999
hb,arab,Jerusalem,51-65,0.153,0.838,0.009000000000000001
hba1c,general,Dan - Petach Tikva,09-13,0.0,0.862,0.13699999999999998
